0.065622,-0.22665,-0.031312
0.056451,-0.1651,-0.017456
0.051787,-0.20905,-0.027532
0.040662,-0.12459,-0.032075
0.068601,-0.25952,-0.028709
0.07177,-0.19869,-0.046356
0.079113,-0.2336,-0.038314
0.062134,-0.14137,-0.031806
0.072937,-0.25208,-0.030985
0.040741,-0.15363,-0.021959
0.12243,-0.39268,-0.058538
0.048397,-0.16936,-0.029932
0.056694,-0.14366,-0.018831
0.039151,-0.14953,-0.0044031
0.072171,-0.24617,-0.026047
0.13765,-0.42535,-0.052698
0.044939,-0.14569,-0.024951
0.034439,-0.10564,-0.017395
0.058812,-0.18035,-0.019419
0.076311,-0.21621,-0.043325
0.042191,-0.1412,-0.016859
0.072254,-0.16561,-0.017976
0.059893,-0.1985,-0.027184
0.043141,-0.16564,-0.031996
0.061039,-0.20678,-0.041004
0.065186,-0.17969,-0.016084
0.044672,-0.14952,-0.02016
0.091236,-0.26906,-0.052111
0.032732,-0.12667,-0.02118
0.040448,-0.11012,-0.017929
0.059371,-0.15717,-0.026969
0.043375,-0.14542,-0.021894
0.085036,-0.35433,-0.048277
0.050033,-0.24417,-0.031209
0.010176,-0.12923,-0.026007
0.052422,-0.1609,-0.019796
0.04317,-0.19214,-0.026849
0.10376,-0.26694,-0.050004
0.042576,-0.18328,-0.028114
0.058311,-0.18319,-0.03674
0.058908,-0.222,-0.045137
0.11014,-0.33821,-0.051503
0.068603,-0.18492,-0.02287
0.084271,-0.27355,-0.04488
0.10175,-0.33814,-0.032898
0.060862,-0.16331,-0.036534
0.029553,-0.14165,-0.021236
0.065286,-0.26351,-0.020201
0.090904,-0.26175,-0.029236
0.071901,-0.18758,-0.033158
